,sent_a,sent_b,label
196,Some men were revealing what children?,What were some men revealing children?,0.0
197,Rodney has hidden which actors?,Which has Rodney hidden actors?,0.0
198,What would every window bother committees?,Every window would bother what committees?,1.0
199,George is scanning what essay?,What is George scanning essay?,0.0
200,The teenagers explain that they aren't breaking all glasses.,The teenagers explain that themselves aren't breaking all glasses.,0.0
201,Carl can't imagine that he complained about Lisa.,Carl can't imagine that himself complained about Lisa.,0.0
202,Angela wasn't thinking that herself likes Susan.,Angela wasn't thinking that she likes Susan.,1.0
203,Tara thinks that she sounded like Wayne.,Tara thinks that herself sounded like Wayne.,0.0
204,Those waiters explain that they did climb down mountains.,Those waiters explain that themselves did climb down mountains.,0.0
205,Tina wasn't saying that she descends most ladders.,Tina wasn't saying that herself descends most ladders.,0.0
206,Cindy explained that she has concealed all cashiers.,Cindy explained that herself has concealed all cashiers.,0.0
207,Bethany has imagined that she has fired Margaret.,Bethany has imagined that herself has fired Margaret.,0.0
208,Pamela thinks that herself isn't returning to Stephanie.,Pamela thinks that she isn't returning to Stephanie.,1.0
209,A lot of doctors say that themselves had skated around that college campus.,A lot of doctors say that they had skated around that college campus.,1.0
210,Many women explain that they fix the cart.,Many women explain that themselves fix the cart.,0.0
211,Donna has imagined that she is breaking the bicycle.,Donna has imagined that herself is breaking the bicycle.,0.0
212,Alan was explaining that he criticizes Holly.,Alan was explaining that himself criticizes Holly.,0.0
213,Michelle thinks that herself was discussing Natalie.,Michelle thinks that she was discussing Natalie.,1.0
214,Janet explains that herself will hurt Leslie.,Janet explains that she will hurt Leslie.,1.0
215,Some patients say that they distracted Caroline.,Some patients say that themselves distracted Caroline.,0.0
216,Many ladies think that they aren't astounding Todd.,Many ladies think that themselves aren't astounding Todd.,0.0
217,The Impressionists say that themselves were criticizing Heidi.,The Impressionists say that they were criticizing Heidi.,1.0
218,Larry thinks that himself is researching some universities.,Larry thinks that he is researching some universities.,1.0
219,Cynthia had thought that herself can't bother Kendra.,Cynthia had thought that she can't bother Kendra.,1.0
220,Homer imagined that he is disgusting Rachel.,Homer imagined that himself is disgusting Rachel.,0.0
221,Clyde explains that himself cleans a lot of cups.,Clyde explains that he cleans a lot of cups.,1.0
222,Peter said that himself was bothering every actor.,Peter said that he was bothering every actor.,1.0
223,Sally couldn't imagine that she wasn't criticizing Robert.,Sally couldn't imagine that herself wasn't criticizing Robert.,0.0
224,Sheila isn't saying that she isn't noticing Caroline.,Sheila isn't saying that herself isn't noticing Caroline.,0.0
225,Every guy imagined that he annoyed Ruth.,Every guy imagined that himself annoyed Ruth.,0.0
226,Barbara thinks that herself isn't boring every adult.,Barbara thinks that she isn't boring every adult.,1.0
227,Gerald thinks that himself scans an essay.,Gerald thinks that he scans an essay.,1.0
228,Some boys have explained that they respected Rachel.,Some boys have explained that themselves respected Rachel.,0.0
229,A woman wasn't explaining that herself did complain about Alexander.,A woman wasn't explaining that she did complain about Alexander.,1.0
230,Kenneth imagines that he healed Linda.,Kenneth imagines that himself healed Linda.,0.0
231,These students think that they might like Rodney.,These students think that themselves might like Rodney.,0.0
232,Alan had imagined that he can praise Kathleen.,Alan had imagined that himself can praise Kathleen.,0.0
233,Rachelle hasn't imagined that herself bikes to some movie theaters.,Rachelle hasn't imagined that she bikes to some movie theaters.,1.0
234,Stacy was saying that herself thinks about Eva.,Stacy was saying that she thinks about Eva.,1.0
235,Amanda thinks that she had cleaned those restaurants.,Amanda thinks that herself had cleaned those restaurants.,0.0
236,Diane hadn't explained that she broke the cart.,Diane hadn't explained that herself broke the cart.,0.0
237,Dana thought that she is messing up that hospital.,Dana thought that herself is messing up that hospital.,0.0
238,The Impressionists say that themselves were complaining about Rose.,The Impressionists say that they were complaining about Rose.,1.0
239,Barbara wasn't saying that she shouldn't climb down some ladder.,Barbara wasn't saying that herself shouldn't climb down some ladder.,0.0
240,Marla thought that she broke some skateboard.,Marla thought that herself broke some skateboard.,0.0
241,Karen had imagined that she wasn't referencing Theresa.,Karen had imagined that herself wasn't referencing Theresa.,0.0
242,A lot of guests imagined that themselves haven't left the hospitals.,A lot of guests imagined that they haven't left the hospitals.,1.0
243,Sheila was thinking that herself saw this steak.,Sheila was thinking that she saw this steak.,1.0
244,Sheila explained that herself might aggravate Angela.,Sheila explained that she might aggravate Angela.,1.0
245,Kevin hadn't said that he was appreciating Eva.,Kevin hadn't said that himself was appreciating Eva.,0.0
246,Laura thought that she was alarming Jason.,Laura thought that herself was alarming Jason.,0.0
247,Rodney imagined that he has praised Vanessa.,Rodney imagined that himself has praised Vanessa.,0.0
248,Todd should think that he scares Brett.,Todd should think that himself scares Brett.,0.0
249,Brett explains that himself had that newspaper article.,Brett explains that he had that newspaper article.,1.0
250,All people explain that themselves could explore this mall.,All people explain that they could explore this mall.,1.0
251,Charles wasn't saying that himself climbs up ladders.,Charles wasn't saying that he climbs up ladders.,1.0
252,Caroline shouldn't think that she drives to the mountain.,Caroline shouldn't think that herself drives to the mountain.,0.0
253,Lissa thinks that she scanned some report.,Lissa thinks that herself scanned some report.,0.0
254,Most adults say that they have irritated Lori.,Most adults say that themselves have irritated Lori.,0.0
255,Jeffrey said that himself hadn't arrived at the river.,Jeffrey said that he hadn't arrived at the river.,1.0
256,Ronald wasn't imagining that himself scares some organization.,Ronald wasn't imagining that he scares some organization.,1.0
257,Becky hasn't imagined that she had fixed the window.,Becky hasn't imagined that herself had fixed the window.,0.0
258,Kathleen had imagined that herself had argued about every person.,Kathleen had imagined that she had argued about every person.,1.0
259,Gary wouldn't think that he tours most grocery stores.,Gary wouldn't think that himself tours most grocery stores.,0.0
260,All guys explain that they escape from Allison.,All guys explain that themselves escape from Allison.,0.0
261,Christine thinks that she was praising Emily.,Christine thinks that herself was praising Emily.,0.0
262,Kevin hadn't thought that he could sell all pictures.,Kevin hadn't thought that himself could sell all pictures.,0.0
263,Kenneth is explaining that himself boycotted all hospitals.,Kenneth is explaining that he boycotted all hospitals.,1.0
264,Nicole imagines that herself isn't investigating some guest.,Nicole imagines that she isn't investigating some guest.,1.0
265,These waiters weren't thinking that themselves discovered a car.,These waiters weren't thinking that they discovered a car.,1.0
266,A lot of waitresses say that they hadn't disgusted Carolyn.,A lot of waitresses say that themselves hadn't disgusted Carolyn.,0.0
267,The pedestrians could imagine that themselves explored Spain.,The pedestrians could imagine that they explored Spain.,1.0
268,Beth has explained that herself hasn't worked with Jane.,Beth has explained that she hasn't worked with Jane.,1.0
269,Amanda should explain that herself works with Lori.,Amanda should explain that she works with Lori.,1.0
270,Connie explains that herself was approaching April.,Connie explains that she was approaching April.,1.0
271,Christina was explaining that she didn't go to the museums.,Christina was explaining that herself didn't go to the museums.,0.0
272,Larry said that himself could work with Douglas.,Larry said that he could work with Douglas.,1.0
273,The Borgias have explained that they weren't bothering Marcus.,The Borgias have explained that themselves weren't bothering Marcus.,0.0
274,Stephen was thinking that himself should aggravate many waitresses.,Stephen was thinking that he should aggravate many waitresses.,1.0
275,Those people say that they disagreed with Beth.,Those people say that themselves disagreed with Beth.,0.0
276,Holly was thinking that she astounded Brett.,Holly was thinking that herself astounded Brett.,0.0
277,Guests think that themselves sell most glasses.,Guests think that they sell most glasses.,1.0
278,Those teenagers say that themselves described some mountains.,Those teenagers say that they described some mountains.,1.0
279,Becca imagined that herself isn't arguing about Margaret.,Becca imagined that she isn't arguing about Margaret.,1.0
280,Nicole imagines that herself has hugged Meredith.,Nicole imagines that she has hugged Meredith.,1.0
281,Carl should explain that himself had hurt David.,Carl should explain that he had hurt David.,1.0
282,Marie had thought that she references Wayne.,Marie had thought that herself references Wayne.,0.0
283,Bill explained that himself shouldn't hug Sonia.,Bill explained that he shouldn't hug Sonia.,1.0
284,These girls think that themselves aren't listening to Beth.,These girls think that they aren't listening to Beth.,1.0
285,Phillip wasn't explaining that himself was shocking Tammy.,Phillip wasn't explaining that he was shocking Tammy.,1.0
286,Nancy can imagine that herself isn't arriving at the Great Lakes.,Nancy can imagine that she isn't arriving at the Great Lakes.,1.0
287,Deanna does explain that herself discussed some pedestrian.,Deanna does explain that she discussed some pedestrian.,1.0
288,Many adults imagine that themselves weren't walking through art galleries.,Many adults imagine that they weren't walking through art galleries.,1.0
289,Richard was explaining that himself did kiss those boys.,Richard was explaining that he did kiss those boys.,1.0
290,Regina imagined that she appreciated a lot of cafes.,Regina imagined that herself appreciated a lot of cafes.,0.0
291,A lot of waiters can explain that they can't scare Noah.,A lot of waiters can explain that themselves can't scare Noah.,0.0
292,Charles couldn't think that he hasn't discussed the rivers.,Charles couldn't think that himself hasn't discussed the rivers.,0.0
293,Paula wasn't thinking that she had seen Candice.,Paula wasn't thinking that herself had seen Candice.,0.0
294,Wayne hadn't explained that himself was discovering Kevin.,Wayne hadn't explained that he was discovering Kevin.,1.0
295,Teresa will say that she wasn't discussing that customer.,Teresa will say that herself wasn't discussing that customer.,0.0
296,Brian imagined that he has concealed Amy.,Brian imagined that himself has concealed Amy.,0.0
297,Martha said that herself should respect Clyde.,Martha said that she should respect Clyde.,1.0
298,Cindy is imagining that herself wasn't concealing Connie.,Cindy is imagining that she wasn't concealing Connie.,1.0
299,Becca shouldn't imagine that she watched Joseph.,Becca shouldn't imagine that herself watched Joseph.,0.0
300,Had Bruce ever played?,Bruce had ever played.,0.0
301,Patrick had ever answered.,Had Patrick ever answered?,1.0
302,Do some carts ever accelerate?,Some carts do ever accelerate.,0.0
303,Will Dawn ever know Jeffrey?,Dawn will ever know Jeffrey.,0.0
304,Should Monica ever grin?,Monica should ever grin.,0.0
305,Has Cindy ever anticipated most dancers to study?,Cindy has ever anticipated most dancers to study.,0.0
306,Had Denise ever doubted Galileo can't bother to train?,Denise had ever doubted Galileo can't bother to train.,0.0
307,Has Jane ever worried Tonya?,Jane has ever worried Tonya.,0.0
308,Many customers would ever bake.,Would many customers ever bake?,1.0
309,Should Mitchell ever know Eva?,Mitchell should ever know Eva.,0.0
310,Could many doctors ever clash?,Many doctors could ever clash.,0.0
311,Has Sandra ever planned to get a job?,Sandra has ever planned to get a job.,0.0
312,The horse will ever come here.,Will the horse ever come here?,1.0
313,Did children ever cope?,Children did ever cope.,0.0
314,Carolyn did ever argue.,Did Carolyn ever argue?,1.0
315,Did most dresses ever shrink?,Most dresses did ever shrink.,0.0
316,Sarah might ever forget many teachers.,Might Sarah ever forget many teachers?,1.0
